time,open,high,low,close,Basis,Upper,Lower,ATVV,Plot,Histogram,MACD,Signal,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1738262700,2794.66,2795.83,2794.38,2795.02,2791.325500000022,2798.305355185998,2784.3456448140464,2566.55,2599.79,-0.28581644980315435,3.8896235930383227,4.175440042841477,0.500110444731418,0.8678291561732286,0.11174937276380681
1738263600,2795.03,2795.22,2792.55,2794.12,2791.838500000022,2798.0094651125646,2785.6675348874796,2502.25,2602.74,-0.38494474282104285,3.694259114315173,4.079203857136216,0.4420717826294351,0.8678291561732286,0.11174937276380681
1738264500,2794.1,2794.42,2791.03,2791.37,2792.0650000000223,2797.802813121285,2786.3271868787597,2450.5,2593.54,-0.6395848953532393,3.2797227379446667,3.919307633297906,0.41100856328650054,0.8678291561732286,0.11174937276380681
1738265400,2791.39,2792.97,2790.63,2792.77,2792.501500000022,2796.903732436544,2788.0992675635002,2358.6,2572.22,-0.7120471629006953,3.029248679672037,3.741295842572732,0.31528953066072585,0.8678291561732286,0.11174937276380681
1738266300,2792.81,2793.61,2792.37,2793.27,2792.7865000000224,2796.5692146886636,2789.0037853113813,2274.95,2538.625,-0.7223382676280208,2.8383730080377063,3.560711275665727,0.270891791308867,0.8678291561732286,0.11174937276380681
1738267200,2793.28,2794.88,2792.23,2794.12,2792.9955000000223,2796.582886014318,2789.4081139857267,2196.9,2494.755,-0.669139677878106,2.7242866783180943,3.3934263561962004,0.25688448221957827,0.8678291561732286,0.11174937276380681
1738268100,2794.13,2795.41,2793.55,2794.71,2793.247000000022,2796.5644875151575,2789.929512484887,2131.6,2440.89,-0.5940032235246795,2.650922326790351,3.2449255503150303,0.2375362805462818,0.8678291561732286,0.11174937276380681
1738269000,2794.72,2796.63,2792.77,2794.91,2793.408000000022,2796.7201448351407,2790.0958551649037,2094.7,2384.5649999999996,-0.5325903531268059,2.5791876089065227,3.1117779620333286,0.23714006941474083,0.8678291561732286,0.11174937276380681
1738269900,2794.95,2798.16,2793.29,2795.45,2793.4155000000223,2796.745379639066,2790.0856203609787,2086.85,2327.66,-0.4600866365837639,2.5366696663036237,2.9967563028873876,0.23840919040104017,0.8678291561732286,0.11174937276380681
1738270800,2795.5,2798.32,2794.69,2795.78,2793.5170000000226,2797.0016353337633,2790.032364666282,2026.45,2268.935,-0.3967852360614046,2.500774757810632,2.8975599938720364,0.24948015950793712,0.8678291561732286,0.11174937276380681
1738271700,2795.83,2796.15,2790.35,2791.58,2793.5315000000223,2796.981185552273,2790.0818144477716,1957.2,2208,-0.6307596962377717,2.109110373574822,2.7398700698125937,0.24697667108823776,0.8678291561732286,0.11174937276380681
1738272600,2791.64,2795.05,2791.3,2792.98,2793.5560000000223,2796.982633247728,2790.129366752317,1886.95,2146.47,-0.6799790325668349,1.8898962791040503,2.5698753116708852,0.24532411361758563,0.8678291561732286,0.11174937276380681
1738273500,2792.97,2794.59,2792.24,2794.14,2793.7430000000227,2796.853961812899,2790.6320381871465,1801.55,2081.575,-0.6245837071838545,1.7891456776910672,2.4137293848749217,0.22270923366080464,0.8678291561732286,0.11174937276380681
1738278000,2794.61,2795.79,2791.37,2794.83,2793.9725000000226,2796.6649922299853,2791.28000777006,1715.15,2017.23,-0.5350926024407006,1.744863631824046,2.2799562342647466,0.19273577173452205,0.8678291561732286,0.11174937276380681
